archivo,real,predicho,confianza,n_detecciones,ms
ants-112-_jpg.rf.b8d6b9acf9fa1edfb438381cbae99199.jpg,Ants,Ants,0.49660128355026245,1,8913.763900000049
ants-122-_jpg.rf.4819e9d7a1531a8b3a430c66b0c4c4bf.jpg,Ants,Ants,0.6936284899711609,1,366.8812999999318
ants-138-_jpg.rf.1910f63385ebe674083ac928462bdc44.jpg,Ants,Ants,0.7400379180908203,3,311.12990000019636
ants-158-_jpg.rf.db2791fad8263642d665fa961aaa4306.jpg,Ants,Ants,0.7389811277389526,1,297.29749999978594
ants-160-_jpg.rf.eee40e36b6088d6c3d9e40ad7534fb93.jpg,Ants,Ants,0.6918314099311829,1,240.33129999997982
ants-166-_jpg.rf.faf370e39e1e9186b4fded0d8fa531b5.jpg,Ants,Beetles,0.4147578179836273,1,221.16120000009687
ants-17-_jpg.rf.366ce3d542821626b2926e3142d1bb64.jpg,Ants,Beetles,0.4474955201148987,2,194.4481000000451
ants-170-_jpg.rf.e8039d89a7213b388d59fb9da549a50a.jpg,Ants,Ants,0.6936235427856445,1,183.65799999992305
ants-172-_jpg.rf.8a26c7ddfdb9b50e280548821fcd3d3f.jpg,Ants,Ants,0.7184014916419983,2,188.44699999999648
ants-180-_jpg.rf.801a32715b73a022aaf33020b8e69ae7.jpg,Ants,Ants,0.7375429272651672,2,191.1739000001944
ants-188-_jpg.rf.6dfe734b89fa9367298d27d2cbaab16a.jpg,Ants,Ants,0.6656221151351929,1,193.9950000000863
ants-191-_jpg.rf.a3b1a3fedfef1ee37bf8f92cfe3b3c88.jpg,Ants,Ants,0.7494552731513977,3,216.51509999992413
ants-193-_jpg.rf.c189a35c275fe7aefa205eb389070502.jpg,Ants,Ants,0.394634872674942,2,300.0904000000446
ants-196-_jpg.rf.9f30fd137b81b1098a5429be3f012d5c.jpg,Ants,Ants,0.7492793202400208,1,288.34340000003067
ants-199-_jpg.rf.35234d66e06d9d7d0dcd4172a6ea3fec.jpg,Ants,Ants,0.7584758400917053,1,304.2077000000063
ants-204-_jpg.rf.9768db225ab93daabb2dd638dd2017d0.jpg,Ants,(sin detección),0.0,0,328.98549999981697
ants-210-_jpg.rf.a64dcb81c54d67bb49b4f104dc427611.jpg,Ants,Ants,0.8295213580131531,4,267.9724000004171
ants-218-_jpg.rf.e91fe697060eae1325eafc80c7351cc2.jpg,Ants,Ants,0.7187151908874512,1,189.80150000015783
ants-227-_jpg.rf.95871d33c3ff4203103df96ab08adcd1.jpg,Ants,Ants,0.48753005266189575,1,187.1368000001894
ants-238-_jpg.rf.46cdcc2ec9e979400da4336bc9ce49eb.jpg,Ants,Ants,0.5453612804412842,1,155.33670000013444
ants-240-_jpg.rf.282865e11dfa809582a91c799bc23b55.jpg,Ants,Ants,0.8326694965362549,1,164.25410000010743
ants-241-_jpg.rf.e3ae012bda12b32d5a46f6b5d7c118f6.jpg,Ants,Ants,0.6758415102958679,1,212.97479999975621
ants-244-_jpg.rf.669788bafd509981e3ebaf67c2571aab.jpg,Ants,Ants,0.6840190887451172,1,208.67439999983617
ants-249-_jpg.rf.abc2c07be7c9a47e5e9a7d06410e98d5.jpg,Ants,Ants,0.7464281320571899,3,216.38450000000375
ants-253-_jpg.rf.90e2aa7729d466542f612e8ee2347311.jpg,Ants,Caterpillars,0.5229319334030151,1,213.09030000020357
ants-259-_jpg.rf.a2667e0ae42cf670a69f181cccd8c0e7.jpg,Ants,Ants,0.4727732241153717,1,351.2313000001086
ants-265-_jpg.rf.ff5ec34fa29df61146cd49309748e992.jpg,Ants,Earwigs,0.7358278036117554,1,344.06540000009045
ants-266-_jpg.rf.daa870aeffba7b1f172dcbb2278c7550.jpg,Ants,(sin detección),0.0,0,834.1805999998542
ants-270-_jpg.rf.e6387bc74eaae205ba375372364d2a4a.jpg,Ants,(sin detección),0.0,0,321.7399000000114
ants-275-_jpg.rf.ce76077985f8e450ad6d7d33014814df.jpg,Ants,Ants,0.7022061944007874,1,450.6653000003098
ants-293-_jpg.rf.c8168e2a3bd14f766e0694228af15a6c.jpg,Ants,Ants,0.7907602190971375,1,261.69739999977537
